tau = 4min

Point Number 	 Temperature 
 289 	 45.073709 
 290 	 45.363704 
 291 	 45.363704 
 292 	 45.005475 
 293 	 45.346645 
 294 	 45.193118 
 295 	 45.261353 
 296 	 45.227236 
 297 	 45.278411 
 298 	 45.261353 
 299 	 45.176060 
 300 	 44.817831 
 301 	 44.800772 
 302 	 45.141943 
 303 	 44.766655 
 304 	 45.073709 
 305 	 44.715479 
 306 	 45.022533 
 307 	 44.681362 
 308 	 44.681362 
 309 	 44.664304 
 310 	 44.971357 
 311 	 44.596070 
 312 	 44.596070 
 313 	 44.544894 
 314 	 44.869006 
 315 	 44.544894 
 316 	 44.510777 
 317 	 44.493718 
 318 	 44.869006 
 319 	 44.476660 
 320 	 44.766655 
 321 	 44.886065 
 322 	 44.391367 
 323 	 44.391367 
 324 	 44.357250 
 325 	 44.630187 
 326 	 44.681362 
 327 	 44.289016 
 328 	 44.254899 
 329 	 44.596070 
 330 	 44.630187 
 331 	 44.579011 
 332 	 44.152548 
 333 	 44.596070 
 334 	 44.186665 
 335 	 44.476660 
 336 	 44.135489 
 337 	 44.135489 
 338 	 44.084313 
 339 	 44.084313 
 340 	 44.050196 
 341 	 44.425484 
 342 	 44.016079 
 343 	 44.016079 
 344 	 43.999021 
 345 	 44.306074 
 346 	 43.964904 
 347 	 44.323133 
 348 	 43.930787 
 349 	 43.896670 
 350 	 43.879611 
 351 	 43.862552 
 352 	 43.879611 
 353 	 43.794318 
 354 	 44.186665 
 355 	 44.186665 
 356 	 44.323133 
 357 	 43.760201 
 358 	 43.726084 
 359 	 43.709026 
 360 	 44.033138 
 361 	 43.657850 
 362 	 43.674909 
 363 	 44.016079 
 364 	 43.623733 
 365 	 43.623733 
 366 	 43.606674 
 367 	 43.589616 
 368 	 43.555499 
 369 	 44.084313 
 370 	 43.538440 
 371 	 43.504323 
 372 	 43.896670 
 373 	 43.436089 
 374 	 43.436089 
 375 	 43.828435 
 376 	 43.419030 
 377 	 43.419030 
 378 	 43.726084 
 379 	 43.777260 
 380 	 43.726084 
 381 	 43.726084 
 382 	 43.350796 
 383 	 43.316679 
 384 	 43.657850 
 385 	 43.691967 
 386 	 43.657850 
 387 	 43.248445 
 388 	 43.231387 
 389 	 43.214328 
 390 	 43.214328 
 391 	 43.214328 
 392 	 43.470206 
 393 	 43.163152 
 394 	 43.470206 
 395 	 43.538440 
 396 	 43.504323 
 397 	 43.094918 
