in s,C1 in V
1.546414496E-01,-8.22754E-01
1.546414544E-01,-8.27637E-01
1.546414592E-01,-8.27637E-01
1.546414640E-01,-8.17871E-01
1.546414688E-01,-8.22754E-01
1.546414736E-01,-8.22754E-01
1.546414784E-01,-8.32520E-01
1.546414832E-01,-8.42285E-01
1.546414880E-01,-8.17871E-01
1.546414928E-01,-8.22754E-01
1.546414976E-01,-8.22754E-01
1.546415024E-01,-8.22754E-01
1.546415072E-01,-8.32520E-01
1.546415120E-01,-8.27637E-01
1.546415168E-01,-8.22754E-01
1.546415216E-01,-8.32520E-01
1.546415264E-01,-8.22754E-01
1.546415312E-01,-8.52051E-01
1.546415360E-01,-8.22754E-01
1.546415408E-01,-8.22754E-01
1.546415456E-01,-8.27637E-01
1.546415504E-01,-8.32520E-01
1.546415552E-01,-8.22754E-01
1.546415600E-01,-8.22754E-01
1.546415648E-01,-8.37402E-01
1.546415696E-01,-8.37402E-01
1.546415744E-01,-8.37402E-01
1.546415792E-01,-8.32520E-01
1.546415840E-01,-8.42285E-01
1.546415888E-01,-8.42285E-01
1.546415936E-01,-8.22754E-01
1.546415984E-01,-8.27637E-01
1.546416032E-01,-8.32520E-01
1.546416080E-01,-8.32520E-01
1.546416128E-01,-8.22754E-01
1.546416176E-01,-8.27637E-01
1.546416224E-01,-8.17871E-01
1.546416272E-01,-8.32520E-01
1.546416320E-01,-8.32520E-01
1.546416368E-01,-8.17871E-01
1.546416416E-01,-8.42285E-01
1.546416464E-01,-8.22754E-01
1.546416512E-01,-8.32520E-01
1.546416560E-01,-8.17871E-01
1.546416608E-01,-8.37402E-01
1.546416656E-01,-8.37402E-01
1.546416704E-01,-8.32520E-01
1.546416752E-01,-8.22754E-01
1.546416800E-01,-8.22754E-01
1.546416848E-01,-8.27637E-01
1.546416896E-01,-8.27637E-01
1.546416944E-01,-8.22754E-01
1.546416992E-01,-8.22754E-01
1.546417040E-01,-8.32520E-01
1.546417088E-01,-8.12988E-01
1.546417136E-01,-8.17871E-01
1.546417184E-01,-8.32520E-01
1.546417232E-01,-8.32520E-01
1.546417280E-01,-8.37402E-01
1.546417328E-01,-8.37402E-01
1.546417376E-01,-8.47168E-01
1.546417424E-01,-8.37402E-01
1.546417472E-01,-8.32520E-01
1.546417520E-01,-8.27637E-01
1.546417568E-01,-8.22754E-01
1.546417616E-01,-8.37402E-01
1.546417664E-01,-8.22754E-01
1.546417712E-01,-8.27637E-01
1.546417760E-01,-8.42285E-01
1.546417808E-01,-8.37402E-01
1.546417856E-01,-8.22754E-01
1.546417904E-01,-8.42285E-01
1.546417952E-01,-8.32520E-01
1.546418000E-01,-8.32520E-01
1.546418048E-01,-8.22754E-01
1.546418096E-01,-8.27637E-01
1.546418144E-01,-8.22754E-01
1.546418192E-01,-8.42285E-01
1.546418240E-01,-8.22754E-01
1.546418288E-01,-8.27637E-01
1.546418336E-01,-8.27637E-01
1.546418384E-01,-8.42285E-01
1.546418432E-01,-8.27637E-01
1.546418480E-01,-8.27637E-01
1.546418528E-01,-8.52051E-01
1.546418576E-01,-8.22754E-01
1.546418624E-01,-8.27637E-01
1.546418672E-01,-8.37402E-01
1.546418720E-01,-8.37402E-01
1.546418768E-01,-8.22754E-01
1.546418816E-01,-8.22754E-01
1.546418864E-01,-8.37402E-01
1.546418912E-01,-8.27637E-01
1.546418960E-01,-8.27637E-01
1.546419008E-01,-8.22754E-01
1.546419056E-01,-8.32520E-01
1.546419104E-01,-8.22754E-01
1.546419152E-01,-8.42285E-01
1.546419200E-01,-8.37402E-01
1.546419248E-01,-8.32520E-01
1.546419296E-01,-8.22754E-01
1.546419344E-01,-8.42285E-01
1.546419392E-01,-8.27637E-01
1.546419440E-01,-8.37402E-01
1.546419488E-01,-8.37402E-01
1.546419536E-01,-8.27637E-01
1.546419584E-01,-8.32520E-01
1.546419632E-01,-8.22754E-01
1.546419680E-01,-8.37402E-01
1.546419728E-01,-8.42285E-01
1.546419776E-01,-8.37402E-01
1.546419824E-01,-8.27637E-01
1.546419872E-01,-8.32520E-01
1.546419920E-01,-8.42285E-01
1.546419968E-01,-8.32520E-01
1.546420016E-01,-8.27637E-01
1.546420064E-01,-8.22754E-01
1.546420112E-01,-8.32520E-01
1.546420160E-01,-8.32520E-01
1.546420208E-01,-8.37402E-01
1.546420256E-01,-8.17871E-01
1.546420304E-01,-8.32520E-01
1.546420352E-01,-8.22754E-01
1.546420400E-01,-8.22754E-01
1.546420448E-01,-8.37402E-01
1.546420496E-01,-8.47168E-01
1.546420544E-01,-8.27637E-01
1.546420592E-01,-8.42285E-01
1.546420640E-01,-8.42285E-01
1.546420688E-01,-8.37402E-01
1.546420736E-01,-8.37402E-01
1.546420784E-01,-8.22754E-01
1.546420832E-01,-8.32520E-01
1.546420880E-01,-8.32520E-01
1.546420928E-01,-8.32520E-01
1.546420976E-01,-8.32520E-01
1.546421024E-01,-8.27637E-01
1.546421072E-01,-8.37402E-01
1.546421120E-01,-8.27637E-01
1.546421168E-01,-8.42285E-01
1.546421216E-01,-8.37402E-01
1.546421264E-01,-8.27637E-01
1.546421312E-01,-8.27637E-01
1.546421360E-01,-8.37402E-01
1.546421408E-01,-8.37402E-01
1.546421456E-01,-8.42285E-01
1.546421504E-01,-8.37402E-01
1.546421552E-01,-8.32520E-01
1.546421600E-01,-8.37402E-01
1.546421648E-01,-8.32520E-01
1.546421696E-01,-8.37402E-01
1.546421744E-01,-8.27637E-01
1.546421792E-01,-8.42285E-01
1.546421840E-01,-8.27637E-01
1.546421888E-01,-8.37402E-01
1.546421936E-01,-8.37402E-01
1.546421984E-01,-8.32520E-01
1.546422032E-01,-8.37402E-01
1.546422080E-01,-8.32520E-01
1.546422128E-01,-8.27637E-01
1.546422176E-01,-8.22754E-01
1.546422224E-01,-8.27637E-01
1.546422272E-01,-8.27637E-01
1.546422320E-01,-8.32520E-01
1.546422368E-01,-8.32520E-01
1.546422416E-01,-8.42285E-01
1.546422464E-01,-8.17871E-01
1.546422512E-01,-8.27637E-01
1.546422560E-01,-8.37402E-01
1.546422608E-01,-8.22754E-01
1.546422656E-01,-8.22754E-01
1.546422704E-01,-8.37402E-01
1.546422752E-01,-8.42285E-01
1.546422800E-01,-8.52051E-01
1.546422848E-01,-8.37402E-01
1.546422896E-01,-8.22754E-01
1.546422944E-01,-8.47168E-01
1.546422992E-01,-8.32520E-01
1.546423040E-01,-8.27637E-01
1.546423088E-01,-8.37402E-01
1.546423136E-01,-8.42285E-01
1.546423184E-01,-8.27637E-01
1.546423232E-01,-8.27637E-01
1.546423280E-01,-8.37402E-01
1.546423328E-01,-8.37402E-01
1.546423376E-01,-8.32520E-01
1.546423424E-01,-8.32520E-01
1.546423472E-01,-8.42285E-01
1.546423520E-01,-8.42285E-01
1.546423568E-01,-8.37402E-01
1.546423616E-01,-8.22754E-01
1.546423664E-01,-8.12988E-01
1.546423712E-01,-8.37402E-01
1.546423760E-01,-8.27637E-01
1.546423808E-01,-8.22754E-01
1.546423856E-01,-8.32520E-01
1.546423904E-01,-8.42285E-01
1.546423952E-01,-8.42285E-01
1.546424000E-01,-8.22754E-01
1.546424048E-01,-8.42285E-01
1.546424096E-01,-8.42285E-01
1.546424144E-01,-8.42285E-01
1.546424192E-01,-8.37402E-01
1.546424240E-01,-8.32520E-01
1.546424288E-01,-8.27637E-01
1.546424336E-01,-8.12988E-01
1.546424384E-01,-8.27637E-01
1.546424432E-01,-8.27637E-01
1.546424480E-01,-8.37402E-01
1.546424528E-01,-8.22754E-01
1.546424576E-01,-8.22754E-01
1.546424624E-01,-8.32520E-01
1.546424672E-01,-8.22754E-01
1.546424720E-01,-8.42285E-01
1.546424768E-01,-8.27637E-01
1.546424816E-01,-8.37402E-01
1.546424864E-01,-8.27637E-01
1.546424912E-01,-8.37402E-01
1.546424960E-01,-8.32520E-01
1.546425008E-01,-8.22754E-01
1.546425056E-01,-8.47168E-01
1.546425104E-01,-8.17871E-01
1.546425152E-01,-8.27637E-01
1.546425200E-01,-8.27637E-01
1.546425248E-01,-8.37402E-01
1.546425296E-01,-8.32520E-01
1.546425344E-01,-8.32520E-01
1.546425392E-01,-8.22754E-01
1.546425440E-01,-8.37402E-01
1.546425488E-01,-8.27637E-01
1.546425536E-01,-8.32520E-01
1.546425584E-01,-8.32520E-01
1.546425632E-01,-8.56934E-01
1.546425680E-01,-8.27637E-01
1.546425728E-01,-8.27637E-01
1.546425776E-01,-8.42285E-01
1.546425824E-01,-8.42285E-01
1.546425872E-01,-8.37402E-01
1.546425920E-01,-8.32520E-01
1.546425968E-01,-8.27637E-01
1.546426016E-01,-8.32520E-01
1.546426064E-01,-8.27637E-01
