in s,C1 in V
-1.391312E-04,4.98047E-03
-1.391264E-04,9.76563E-05
-1.391216E-04,-4.78516E-03
-1.391168E-04,-4.78516E-03
-1.391120E-04,4.98047E-03
-1.391072E-04,-1.45508E-02
-1.391024E-04,-1.45508E-02
-1.390976E-04,-4.78516E-03
-1.390928E-04,-4.78516E-03
-1.390880E-04,9.76563E-05
-1.390832E-04,-9.66797E-03
-1.390784E-04,9.76563E-05
-1.390736E-04,-4.78516E-03
-1.390688E-04,4.98047E-03
-1.390640E-04,9.76563E-05
-1.390592E-04,-9.66797E-03
-1.390544E-04,-4.78516E-03
-1.390496E-04,-4.78516E-03
-1.390448E-04,-9.66797E-03
-1.390400E-04,-9.66797E-03
-1.390352E-04,-9.66797E-03
-1.390304E-04,9.76563E-05
-1.390256E-04,-1.45508E-02
-1.390208E-04,-1.45508E-02
-1.390160E-04,-4.78516E-03
-1.390112E-04,9.76563E-05
-1.390064E-04,-2.91992E-02
-1.390016E-04,-4.78516E-03
-1.389968E-04,-9.66797E-03
-1.389920E-04,-1.45508E-02
-1.389872E-04,9.76563E-05
-1.389824E-04,-4.78516E-03
-1.389776E-04,-1.45508E-02
-1.389728E-04,4.98047E-03
-1.389680E-04,9.76563E-05
-1.389632E-04,-9.66797E-03
-1.389584E-04,9.76563E-05
-1.389536E-04,9.76563E-05
-1.389488E-04,9.86328E-03
-1.389440E-04,-1.94336E-02
-1.389392E-04,-4.78516E-03
-1.389344E-04,-4.78516E-03
-1.389296E-04,-1.45508E-02
-1.389248E-04,-9.66797E-03
-1.389200E-04,-4.78516E-03
-1.389152E-04,9.76563E-05
-1.389104E-04,-1.94336E-02
-1.389056E-04,-1.45508E-02
-1.389008E-04,-9.66797E-03
-1.388960E-04,9.76563E-05
-1.388912E-04,-1.45508E-02
-1.388864E-04,-9.66797E-03
-1.388816E-04,9.76563E-05
-1.388768E-04,-4.78516E-03
-1.388720E-04,4.98047E-03
-1.388672E-04,-4.78516E-03
-1.388624E-04,-1.94336E-02
-1.388576E-04,9.76563E-05
-1.388528E-04,-1.45508E-02
-1.388480E-04,-9.66797E-03
-1.388432E-04,-4.78516E-03
-1.388384E-04,-1.45508E-02
-1.388336E-04,9.76563E-05
-1.388288E-04,9.76563E-05
-1.388240E-04,9.76563E-05
-1.388192E-04,-1.45508E-02
-1.388144E-04,9.86328E-03
-1.388096E-04,-1.45508E-02
-1.388048E-04,-9.66797E-03
-1.388000E-04,-1.45508E-02
-1.387952E-04,4.98047E-03
-1.387904E-04,-1.45508E-02
-1.387856E-04,-1.45508E-02
-1.387808E-04,9.76563E-05
-1.387760E-04,4.98047E-03
-1.387712E-04,-1.45508E-02
-1.387664E-04,-4.78516E-03
-1.387616E-04,-9.66797E-03
-1.387568E-04,-1.45508E-02
-1.387520E-04,9.76563E-05
-1.387472E-04,-1.45508E-02
-1.387424E-04,4.98047E-03
-1.387376E-04,4.98047E-03
-1.387328E-04,-1.45508E-02
-1.387280E-04,4.98047E-03
