in s,C2 in V
-5.264080E-05,-1.32422E-02
-5.263600E-05,-3.47656E-03
-5.263120E-05,-3.27734E-02
-5.262640E-05,6.28906E-03
-5.262160E-05,-2.30078E-02
-5.261680E-05,-1.32422E-02
-5.261200E-05,1.60547E-02
-5.260720E-05,-3.27734E-02
-5.260240E-05,6.28906E-03
-5.259760E-05,-3.47656E-03
-5.259280E-05,-3.47656E-03
-5.258800E-05,1.60547E-02
-5.258320E-05,6.28906E-03
-5.257840E-05,-1.32422E-02
-5.257360E-05,-2.30078E-02
-5.256880E-05,-2.30078E-02
-5.256400E-05,6.28906E-03
-5.255920E-05,-1.32422E-02
-5.255440E-05,-3.47656E-03
-5.254960E-05,-3.47656E-03
-5.254480E-05,-3.47656E-03
-5.254000E-05,-1.32422E-02
-5.253520E-05,-1.32422E-02
-5.253040E-05,-1.32422E-02
-5.252560E-05,-2.30078E-02
-5.252080E-05,-1.32422E-02
-5.251600E-05,-2.30078E-02
-5.251120E-05,-1.32422E-02
-5.250640E-05,-1.32422E-02
-5.250160E-05,-3.27734E-02
-5.249680E-05,-1.32422E-02
-5.249200E-05,-1.32422E-02
-5.248720E-05,1.60547E-02
-5.248240E-05,-1.32422E-02
-5.247760E-05,-1.32422E-02
-5.247280E-05,-2.30078E-02
-5.246800E-05,-1.32422E-02
-5.246320E-05,-1.32422E-02
-5.245840E-05,-3.27734E-02
-5.245360E-05,-3.47656E-03
-5.244880E-05,6.28906E-03
-5.244400E-05,-2.30078E-02
-5.243920E-05,-2.30078E-02
-5.243440E-05,1.60547E-02
-5.242960E-05,-1.32422E-02
-5.242480E-05,-1.32422E-02
-5.242000E-05,-3.27734E-02
-5.241520E-05,-2.30078E-02
-5.241040E-05,6.28906E-03
-5.240560E-05,-1.32422E-02
-5.240080E-05,-2.30078E-02
-5.239600E-05,-2.30078E-02
-5.239120E-05,-1.32422E-02
-5.238640E-05,-3.27734E-02
-5.238160E-05,-5.23047E-02
-5.237680E-05,6.28906E-03
-5.237200E-05,-1.32422E-02
-5.236720E-05,-3.47656E-03
-5.236240E-05,-1.32422E-02
-5.235760E-05,-2.30078E-02
-5.235280E-05,-2.30078E-02
-5.234800E-05,-3.47656E-03
-5.234320E-05,-2.30078E-02
-5.233840E-05,1.60547E-02
-5.233360E-05,-4.25391E-02
-5.232880E-05,-4.25391E-02
-5.232400E-05,-2.30078E-02
-5.231920E-05,-2.30078E-02
-5.231440E-05,-1.32422E-02
-5.230960E-05,-2.30078E-02
-5.230480E-05,6.28906E-03
-5.230000E-05,-3.47656E-03
-5.229520E-05,-3.47656E-03
-5.229040E-05,-1.32422E-02
-5.228560E-05,-1.32422E-02
-5.228080E-05,-1.32422E-02
-5.227600E-05,-1.32422E-02
-5.227120E-05,-2.30078E-02
-5.226640E-05,-3.47656E-03
-5.226160E-05,-1.32422E-02
-5.225680E-05,1.60547E-02
-5.225200E-05,-3.47656E-03
-5.224720E-05,1.60547E-02
-5.224240E-05,-2.30078E-02
-5.223760E-05,6.28906E-03
-5.223280E-05,-1.32422E-02
-5.222800E-05,-3.47656E-03
-5.222320E-05,-1.32422E-02
-5.221840E-05,-2.30078E-02
-5.221360E-05,-1.32422E-02
-5.220880E-05,-1.32422E-02
-5.220400E-05,-2.30078E-02
-5.219920E-05,-2.30078E-02
-5.219440E-05,-1.32422E-02
-5.218960E-05,-2.30078E-02
-5.218480E-05,-3.47656E-03
-5.218000E-05,-1.32422E-02
-5.217520E-05,-1.32422E-02
-5.217040E-05,-2.30078E-02
-5.216560E-05,-2.30078E-02
-5.216080E-05,-3.27734E-02
-5.215600E-05,1.60547E-02
-5.215120E-05,-1.32422E-02
-5.214640E-05,1.60547E-02
-5.214160E-05,-1.32422E-02
-5.213680E-05,-1.32422E-02
-5.213200E-05,-2.30078E-02
-5.212720E-05,-3.27734E-02
-5.212240E-05,-1.32422E-02
-5.211760E-05,-3.47656E-03
-5.211280E-05,-1.32422E-02
-5.210800E-05,-1.32422E-02
-5.210320E-05,1.60547E-02
-5.209840E-05,-1.32422E-02
-5.209360E-05,-2.30078E-02
-5.208880E-05,-3.47656E-03
-5.208400E-05,-4.25391E-02
-5.207920E-05,6.28906E-03
-5.207440E-05,-1.32422E-02
-5.206960E-05,-2.30078E-02
-5.206480E-05,2.58203E-02
-5.206000E-05,-1.32422E-02
-5.205520E-05,-3.47656E-03
-5.205040E-05,-2.30078E-02
-5.204560E-05,2.58203E-02
-5.204080E-05,-1.32422E-02
-5.203600E-05,1.60547E-02
-5.203120E-05,-2.30078E-02
-5.202640E-05,-3.47656E-03
-5.202160E-05,-1.32422E-02
-5.201680E-05,-2.30078E-02
-5.201200E-05,1.60547E-02
-5.200720E-05,-3.27734E-02
-5.200240E-05,-2.30078E-02
-5.199760E-05,-2.30078E-02
-5.199280E-05,-2.30078E-02
-5.198800E-05,1.60547E-02
-5.198320E-05,-3.47656E-03
-5.197840E-05,-1.32422E-02
