in s,C2 in V
-2.640000E-05,8.69727E-04
-2.639760E-05,-6.25918E-03
-2.639520E-05,-2.69473E-03
-2.639280E-05,4.43418E-03
-2.639040E-05,-9.82363E-03
-2.638800E-05,8.69727E-04
-2.638560E-05,-6.25918E-03
-2.638320E-05,7.99863E-03
-2.638080E-05,8.69727E-04
-2.637840E-05,4.43418E-03
-2.637600E-05,4.43418E-03
-2.637360E-05,-2.69473E-03
-2.637120E-05,-6.25918E-03
-2.636880E-05,7.99863E-03
-2.636640E-05,7.99863E-03
-2.636400E-05,-2.69473E-03
-2.636160E-05,8.69727E-04
-2.635920E-05,8.69727E-04
-2.635680E-05,7.99863E-03
-2.635440E-05,8.69727E-04
-2.635200E-05,4.43418E-03
-2.634960E-05,8.69727E-04
-2.634720E-05,8.69727E-04
-2.634480E-05,-6.25918E-03
-2.634240E-05,4.43418E-03
-2.634000E-05,4.43418E-03
-2.633760E-05,7.99863E-03
-2.633520E-05,-6.25918E-03
-2.633280E-05,4.43418E-03
-2.633040E-05,8.69727E-04
-2.632800E-05,1.86920E-02
-2.632560E-05,8.69727E-04
-2.632320E-05,8.69727E-04
-2.632080E-05,8.69727E-04
-2.631840E-05,1.15631E-02
-2.631600E-05,7.99863E-03
-2.631360E-05,4.43418E-03
-2.631120E-05,4.43418E-03
-2.630880E-05,8.69727E-04
-2.630640E-05,-2.69473E-03
-2.630400E-05,-1.69525E-02
-2.630160E-05,4.43418E-03
-2.629920E-05,-2.69473E-03
-2.629680E-05,8.69727E-04
-2.629440E-05,-6.25918E-03
-2.629200E-05,4.43418E-03
-2.628960E-05,8.69727E-04
-2.628720E-05,4.43418E-03
-2.628480E-05,4.43418E-03
-2.628240E-05,-6.25918E-03
-2.628000E-05,4.43418E-03
-2.627760E-05,7.99863E-03
-2.627520E-05,4.43418E-03
-2.627280E-05,-2.69473E-03
-2.627040E-05,-2.69473E-03
-2.626800E-05,-2.69473E-03
-2.626560E-05,1.15631E-02
-2.626320E-05,-2.69473E-03
-2.626080E-05,4.43418E-03
-2.625840E-05,-2.69473E-03
-2.625600E-05,8.69727E-04
-2.625360E-05,4.43418E-03
-2.625120E-05,-2.69473E-03
-2.624880E-05,8.69727E-04
-2.624640E-05,4.43418E-03
-2.624400E-05,-6.25918E-03
-2.624160E-05,4.43418E-03
-2.623920E-05,-2.69473E-03
-2.623680E-05,4.43418E-03
-2.623440E-05,8.69727E-04
-2.623200E-05,-1.33881E-02
-2.622960E-05,1.86920E-02
-2.622720E-05,7.99863E-03
-2.622480E-05,8.69727E-04
-2.622240E-05,8.69727E-04
-2.622000E-05,4.43418E-03
