in s,C1 in V
-2.9989123E-02,3.97189E+00
-2.9988662E-02,3.95725E+00
-2.9988202E-02,3.98654E+00
-2.9987741E-02,3.98166E+00
-2.9987280E-02,3.97678E+00
-2.9986819E-02,3.98166E+00
-2.9986358E-02,3.98654E+00
-2.9985898E-02,3.97189E+00
-2.9985437E-02,3.98166E+00
-2.9984976E-02,3.99631E+00
-2.9984515E-02,3.96701E+00
-2.9984054E-02,3.97189E+00
-2.9983594E-02,3.96701E+00
-2.9983133E-02,3.97678E+00
-2.9982672E-02,3.97678E+00
-2.9982211E-02,3.96701E+00
-2.9981750E-02,3.98166E+00
-2.9981290E-02,3.98166E+00
-2.9980829E-02,3.96701E+00
-2.9980368E-02,3.96701E+00
-2.9979907E-02,3.97189E+00
-2.9979446E-02,3.97189E+00
-2.9978986E-02,3.98166E+00
-2.9978525E-02,3.96701E+00
-2.9978064E-02,3.96701E+00
-2.9977603E-02,3.95725E+00
-2.9977142E-02,3.98166E+00
-2.9976682E-02,3.98654E+00
-2.9976221E-02,3.97678E+00
-2.9975760E-02,3.97189E+00
-2.9975299E-02,3.97678E+00
-2.9974838E-02,3.97678E+00
-2.9974378E-02,3.97678E+00
-2.9973917E-02,3.96213E+00
-2.9973456E-02,3.96701E+00
-2.9972995E-02,3.97189E+00
-2.9972534E-02,3.96701E+00
-2.9972074E-02,3.98166E+00
-2.9971613E-02,3.96701E+00
-2.9971152E-02,3.97678E+00
-2.9970691E-02,3.99143E+00
-2.9970230E-02,3.97678E+00
-2.9969770E-02,3.97189E+00
-2.9969309E-02,3.98166E+00
-2.9968848E-02,3.97189E+00
-2.9968387E-02,3.98166E+00
-2.9967926E-02,3.95236E+00
-2.9967466E-02,3.98654E+00
-2.9967005E-02,3.98166E+00
-2.9966544E-02,3.98166E+00
-2.9966083E-02,3.96213E+00
-2.9965622E-02,3.97189E+00
-2.9965162E-02,3.97189E+00
-2.9964701E-02,3.98166E+00
-2.9964240E-02,3.96701E+00
-2.9963779E-02,3.97678E+00
-2.9963318E-02,3.98654E+00
-2.9962858E-02,3.98166E+00
-2.9962397E-02,3.97678E+00
-2.9961936E-02,3.98166E+00
-2.9961475E-02,3.96701E+00
-2.9961014E-02,3.97189E+00
-2.9960554E-02,3.97189E+00
-2.9960093E-02,3.97189E+00
-2.9959632E-02,3.97678E+00
-2.9959171E-02,3.97189E+00
-2.9958710E-02,3.97678E+00
-2.9958250E-02,3.97678E+00
-2.9957789E-02,3.97678E+00
-2.9957328E-02,3.98654E+00
-2.9956867E-02,3.96701E+00
-2.9956406E-02,3.97189E+00
-2.9955946E-02,3.97189E+00
-2.9955485E-02,3.97189E+00
-2.9955024E-02,3.97189E+00
-2.9954563E-02,3.98654E+00
-2.9954102E-02,3.98166E+00
-2.9953642E-02,3.98166E+00
-2.9953181E-02,3.97189E+00
-2.9952720E-02,3.68381E+00
-2.9952259E-02,3.40061E+00
-2.9951798E-02,3.11740E+00
-2.9951338E-02,2.81955E+00
-2.9950877E-02,2.51682E+00
-2.9950416E-02,2.24338E+00
-2.9949955E-02,1.94064E+00
-2.9949494E-02,1.63791E+00
-2.9949034E-02,1.34494E+00
-2.9948573E-02,1.04221E+00
-2.9948112E-02,7.24824E-01
-2.9947651E-02,4.36738E-01
-2.9947190E-02,1.34004E-01
-2.9946730E-02,7.05078E-03
-2.9946269E-02,-7.59766E-03
-2.9945808E-02,-7.59766E-03
-2.9945347E-02,-7.59766E-03
-2.9944886E-02,-2.71484E-03
-2.9944426E-02,-2.71484E-03
-2.9943965E-02,-2.71484E-03
-2.9943504E-02,2.16797E-03
-2.9943043E-02,-2.71484E-03
-2.9942582E-02,-7.59766E-03
-2.9942122E-02,-7.59766E-03
-2.9941661E-02,-7.59766E-03
-2.9941200E-02,-2.71484E-03
-2.9940739E-02,-7.59766E-03
-2.9940278E-02,-1.24805E-02
-2.9939818E-02,-7.59766E-03
-2.9939357E-02,-1.24805E-02
-2.9938896E-02,-2.71484E-03
-2.9938435E-02,-1.24805E-02
-2.9937974E-02,2.16797E-03
-2.9937514E-02,-7.59766E-03
-2.9937053E-02,-2.71484E-03
-2.9936592E-02,-1.73633E-02
-2.9936131E-02,-2.71484E-03
-2.9935670E-02,-2.71484E-03
-2.9935210E-02,-7.59766E-03
-2.9934749E-02,-7.59766E-03
-2.9934288E-02,-1.73633E-02
-2.9933827E-02,2.16797E-03
-2.9933366E-02,2.16797E-03
-2.9932906E-02,-7.59766E-03
-2.9932445E-02,-1.24805E-02
-2.9931984E-02,-1.24805E-02
-2.9931523E-02,2.16797E-03
-2.9931062E-02,-7.59766E-03
-2.9930602E-02,-1.24805E-02
-2.9930141E-02,-1.24805E-02
-2.9929680E-02,-7.59766E-03
-2.9929219E-02,-2.22461E-02
-2.9928758E-02,-7.59766E-03
-2.9928298E-02,-2.71484E-03
-2.9927837E-02,-1.24805E-02
-2.9927376E-02,-7.59766E-03
-2.9926915E-02,-2.71484E-03
-2.9926454E-02,-1.73633E-02
-2.9925994E-02,-7.59766E-03
-2.9925533E-02,-1.73633E-02
-2.9925072E-02,-7.59766E-03
-2.9924611E-02,-7.59766E-03
-2.9924150E-02,-7.59766E-03
-2.9923690E-02,-1.73633E-02
-2.9923229E-02,-1.24805E-02
-2.9922768E-02,-7.59766E-03
-2.9922307E-02,-2.71289E-02
-2.9921846E-02,-2.22461E-02
-2.9921386E-02,-7.59766E-03
-2.9920925E-02,-1.24805E-02
-2.9920464E-02,7.05078E-03
-2.9920003E-02,-7.59766E-03
-2.9919542E-02,2.16797E-03
-2.9919082E-02,-7.59766E-03
-2.9918621E-02,-7.59766E-03
-2.9918160E-02,-2.71484E-03
-2.9917699E-02,-2.71484E-03
-2.9917238E-02,-2.22461E-02
-2.9916778E-02,-7.59766E-03
-2.9916317E-02,-2.71484E-03
-2.9915856E-02,-1.73633E-02
-2.9915395E-02,-1.73633E-02
